image_path,label
data/mini_imagenet/panda/panda_075.jpg,panda
data/mini_imagenet/dog/dog_008.jpg,dog
data/mini_imagenet/panda/panda_076.jpg,panda
data/mini_imagenet/panda/panda_067.jpg,panda
data/mini_imagenet/cat/cat_040.jpg,cat
data/mini_imagenet/panda/panda_061.jpg,panda
data/mini_imagenet/panda/panda_051.jpg,panda
data/mini_imagenet/panda/panda_055.jpg,panda
data/mini_imagenet/cat/cat_001.jpg,cat
data/mini_imagenet/panda/panda_020.jpg,panda
data/mini_imagenet/cat/cat_030.jpg,cat
data/mini_imagenet/cat/cat_021.jpg,cat
data/mini_imagenet/panda/panda_021.jpg,panda
data/mini_imagenet/panda/panda_043.jpg,panda
data/mini_imagenet/cat/cat_048.jpg,cat
data/mini_imagenet/panda/panda_018.jpg,panda
data/mini_imagenet/panda/panda_036.jpg,panda
data/mini_imagenet/cat/cat_046.jpg,cat
data/mini_imagenet/cat/cat_025.jpg,cat
data/mini_imagenet/cat/cat_012.jpg,cat
data/mini_imagenet/panda/panda_031.jpg,panda
data/mini_imagenet/panda/panda_074.jpg,panda
data/mini_imagenet/panda/panda_004.jpg,panda
data/mini_imagenet/cat/cat_009.jpg,cat
data/mini_imagenet/panda/panda_039.jpg,panda
data/mini_imagenet/panda/panda_009.jpg,panda
data/mini_imagenet/dog/dog_018.jpg,dog
data/mini_imagenet/panda/panda_045.jpg,panda
data/mini_imagenet/cat/cat_016.jpg,cat
data/mini_imagenet/cat/cat_019.jpg,cat
data/mini_imagenet/panda/panda_080.jpg,panda
data/mini_imagenet/cat/cat_004.jpg,cat
data/mini_imagenet/cat/cat_050.jpg,cat
data/mini_imagenet/cat/cat_033.jpg,cat
data/mini_imagenet/cat/cat_023.jpg,cat
data/mini_imagenet/cat/cat_036.jpg,cat
data/mini_imagenet/cat/cat_007.jpg,cat
data/mini_imagenet/panda/panda_019.jpg,panda
data/mini_imagenet/panda/panda_001.jpg,panda
data/mini_imagenet/cat/cat_014.jpg,cat
data/mini_imagenet/dog/dog_015.jpg,dog
data/mini_imagenet/cat/cat_038.jpg,cat
data/mini_imagenet/panda/panda_072.jpg,panda
data/mini_imagenet/panda/panda_024.jpg,panda
data/mini_imagenet/panda/panda_038.jpg,panda
data/mini_imagenet/panda/panda_078.jpg,panda
data/mini_imagenet/dog/dog_009.jpg,dog
data/mini_imagenet/panda/panda_044.jpg,panda
data/mini_imagenet/panda/panda_026.jpg,panda
data/mini_imagenet/dog/dog_019.jpg,dog
data/mini_imagenet/panda/panda_054.jpg,panda
data/mini_imagenet/panda/panda_033.jpg,panda
data/mini_imagenet/dog/dog_011.jpg,dog
data/mini_imagenet/panda/panda_013.jpg,panda
data/mini_imagenet/panda/panda_040.jpg,panda
data/mini_imagenet/panda/panda_017.jpg,panda
data/mini_imagenet/panda/panda_071.jpg,panda
data/mini_imagenet/cat/cat_044.jpg,cat
data/mini_imagenet/cat/cat_013.jpg,cat
data/mini_imagenet/panda/panda_028.jpg,panda
data/mini_imagenet/panda/panda_057.jpg,panda
data/mini_imagenet/cat/cat_020.jpg,cat
data/mini_imagenet/panda/panda_003.jpg,panda
data/mini_imagenet/panda/panda_041.jpg,panda
data/mini_imagenet/panda/panda_077.jpg,panda
data/mini_imagenet/panda/panda_060.jpg,panda
data/mini_imagenet/dog/dog_013.jpg,dog
data/mini_imagenet/dog/dog_002.jpg,dog
data/mini_imagenet/panda/panda_022.jpg,panda
data/mini_imagenet/panda/panda_015.jpg,panda
data/mini_imagenet/cat/cat_011.jpg,cat
data/mini_imagenet/cat/cat_041.jpg,cat
data/mini_imagenet/panda/panda_052.jpg,panda
data/mini_imagenet/dog/dog_010.jpg,dog
data/mini_imagenet/dog/dog_007.jpg,dog
data/mini_imagenet/panda/panda_053.jpg,panda
data/mini_imagenet/cat/cat_027.jpg,cat
data/mini_imagenet/panda/panda_059.jpg,panda
data/mini_imagenet/panda/panda_049.jpg,panda
data/mini_imagenet/cat/cat_005.jpg,cat
data/mini_imagenet/dog/dog_004.jpg,dog
data/mini_imagenet/panda/panda_068.jpg,panda
data/mini_imagenet/dog/dog_006.jpg,dog
data/mini_imagenet/panda/panda_064.jpg,panda
data/mini_imagenet/panda/panda_014.jpg,panda
data/mini_imagenet/cat/cat_026.jpg,cat
data/mini_imagenet/panda/panda_034.jpg,panda
data/mini_imagenet/dog/dog_014.jpg,dog
data/mini_imagenet/cat/cat_017.jpg,cat
data/mini_imagenet/panda/panda_079.jpg,panda
data/mini_imagenet/cat/cat_015.jpg,cat
data/mini_imagenet/panda/panda_066.jpg,panda
data/mini_imagenet/panda/panda_012.jpg,panda
data/mini_imagenet/panda/panda_006.jpg,panda
data/mini_imagenet/cat/cat_045.jpg,cat
data/mini_imagenet/panda/panda_058.jpg,panda
data/mini_imagenet/cat/cat_047.jpg,cat
data/mini_imagenet/cat/cat_008.jpg,cat
data/mini_imagenet/cat/cat_003.jpg,cat
